state,county_name,candidate,party,mode,votes,Total Votes
Alabama,henry,Ron Crumpton,Democratic,regular,2215,7895
Alabama,henry,Richard C. Shelby,Republican,regular,5228,7895
Alabama,houston,Write in,Other,absentee,8,41833
Alabama,houston,Ron Crumpton,Democratic,absentee,453,41833
Alabama,houston,Richard C. Shelby,Republican,absentee,1479,41833
Alabama,houston,Write in,Other,regular,112,41833
Alabama,houston,Ron Crumpton,Democratic,regular,10766,41833
Alabama,houston,Richard C. Shelby,Republican,regular,29015,41833
Alabama,jackson,Ron Crumpton,Democratic,absentee,186,20260
Alabama,jackson,Richard C. Shelby,Republican,absentee,568,20260
Alabama,jackson,Write in,Other,regular,20,20260
Alabama,jackson,Ron Crumpton,Democratic,regular,4338,20260
Alabama,jackson,Richard C. Shelby,Republican,regular,15148,20260
Alabama,jefferson,Write in,Other,regular,434,300348
Alabama,jefferson,Ron Crumpton,Democratic,regular,150464,300348
Alabama,jefferson,Richard C. Shelby,Republican,regular,139436,300348
Alabama,jefferson,Write in,Other,absentee,17,300348
Alabama,jefferson,Ron Crumpton,Democratic,absentee,5631,300348
Alabama,jefferson,Richard C. Shelby,Republican,absentee,4366,300348
Alabama,lamar,Ron Crumpton,Democratic,absentee,56,6757
Alabama,lamar,Richard C. Shelby,Republican,absentee,269,6757
Alabama,lamar,Write in,Other,regular,4,6757
Alabama,lamar,Ron Crumpton,Democratic,regular,1068,6757
Alabama,lamar,Richard C. Shelby,Republican,regular,5360,6757
Alabama,lauderdale,Write in,Other,absentee,1,38787
Alabama,lauderdale,Ron Crumpton,Democratic,absentee,606,38787
Alabama,lauderdale,Richard C. Shelby,Republican,absentee,1349,38787
Alabama,lauderdale,Write in,Other,regular,42,38787
Alabama,lauderdale,Ron Crumpton,Democratic,regular,11046,38787
Alabama,lauderdale,Richard C. Shelby,Republican,regular,25743,38787
Alabama,lawrence,Write in,Other,absentee,1,14325
Alabama,lawrence,Ron Crumpton,Democratic,absentee,119,14325
Alabama,lawrence,Richard C. Shelby,Republican,absentee,297,14325
Alabama,lawrence,Write in,Other,regular,15,14325
Alabama,lawrence,Ron Crumpton,Democratic,regular,4035,14325
Alabama,lawrence,Richard C. Shelby,Republican,regular,9858,14325
Alabama,lee,Write in,Other,absentee,5,58294
Alabama,lee,Ron Crumpton,Democratic,absentee,1063,58294
Alabama,lee,Richard C. Shelby,Republican,absentee,1942,58294
Alabama,lee,Write in,Other,regular,130,58294
Alabama,lee,Ron Crumpton,Democratic,regular,20412,58294
Alabama,lee,Richard C. Shelby,Republican,regular,34742,58294
Alabama,limestone,Write in,Other,absentee,3,39493
Alabama,limestone,Ron Crumpton,Democratic,absentee,479,39493
Alabama,limestone,Richard C. Shelby,Republican,absentee,1508,39493
Alabama,limestone,Write in,Other,regular,54,39493
Alabama,limestone,Ron Crumpton,Democratic,regular,9754,39493
Alabama,limestone,Richard C. Shelby,Republican,regular,27695,39493
Alabama,lowndes,Ron Crumpton,Democratic,absentee,180,6426
Alabama,lowndes,Richard C. Shelby,Republican,absentee,59,6426
Alabama,lowndes,Write in,Other,regular,7,6426
Alabama,lowndes,Ron Crumpton,Democratic,regular,4400,6426
Alabama,lowndes,Richard C. Shelby,Republican,regular,1780,6426
Alabama,macon,Ron Crumpton,Democratic,absentee,343,9004
Alabama,macon,Richard C. Shelby,Republican,absentee,51,9004
Alabama,macon,Write in,Other,regular,9,9004
Alabama,macon,Ron Crumpton,Democratic,regular,7099,9004
Alabama,macon,Richard C. Shelby,Republican,regular,1502,9004
Alabama,madison,Write in,Other,absentee,18,160990
Alabama,madison,Ron Crumpton,Democratic,absentee,3633,160990
Alabama,madison,Richard C. Shelby,Republican,absentee,5535,160990
Alabama,madison,Write in,Other,regular,306,160990
Alabama,madison,Ron Crumpton,Democratic,regular,59237,160990
Alabama,madison,Richard C. Shelby,Republican,regular,92261,160990
Alabama,marengo,Ron Crumpton,Democratic,absentee,417,10718
Alabama,marengo,Richard C. Shelby,Republican,absentee,302,10718
Alabama,marengo,Write in,Other,regular,5,10718
Alabama,marengo,Ron Crumpton,Democratic,regular,5002,10718
Alabama,marengo,Richard C. Shelby,Republican,regular,4992,10718
Alabama,marion,Write in,Other,absentee,2,12740
Alabama,marion,Ron Crumpton,Democratic,absentee,53,12740
Alabama,marion,Richard C. Shelby,Republican,absentee,367,12740
Alabama,marion,Write in,Other,regular,25,12740
Alabama,marion,Ron Crumpton,Democratic,regular,1908,12740
Alabama,marion,Richard C. Shelby,Republican,regular,10385,12740
Alabama,marshall,Write in,Other,absentee,2,34485
Alabama,marshall,Ron Crumpton,Democratic,absentee,224,34485
Alabama,marshall,Richard C. Shelby,Republican,absentee,895,34485
Alabama,marshall,Write in,Other,regular,53,34485
Alabama,marshall,Ron Crumpton,Democratic,regular,5674,34485
Alabama,marshall,Richard C. Shelby,Republican,regular,27637,34485
Alabama,mobile,Ron Crumpton,Democratic,regular,67944,167163
Alabama,mobile,Richard C. Shelby,Republican,regular,93678,167163
Alabama,mobile,Ron Crumpton,Democratic,absentee,2471,167163
Alabama,mobile,Richard C. Shelby,Republican,absentee,3070,167163
Alabama,monroe,Ron Crumpton,Democratic,absentee,187,10122
Alabama,monroe,Richard C. Shelby,Republican,absentee,165,10122
Alabama,monroe,Write in,Other,regular,13,10122
Alabama,monroe,Ron Crumpton,Democratic,regular,4068,10122
Alabama,monroe,Richard C. Shelby,Republican,regular,5689,10122
Alabama,montgomery,Write in,Other,absentee,8,94611
Alabama,montgomery,Ron Crumpton,Democratic,absentee,1964,94611
Alabama,montgomery,Richard C. Shelby,Republican,absentee,1902,94611
Alabama,montgomery,Write in,Other,regular,154,94611
Alabama,montgomery,Ron Crumpton,Democratic,regular,56008,94611
Alabama,montgomery,Richard C. Shelby,Republican,regular,34575,94611
Alabama,morgan,Write in,Other,absentee,3,49830
Alabama,morgan,Ron Crumpton,Democratic,absentee,457,49830
Alabama,morgan,Richard C. Shelby,Republican,absentee,1386,49830
Alabama,morgan,Write in,Other,regular,54,49830
Alabama,morgan,Ron Crumpton,Democratic,regular,11868,49830
Alabama,morgan,Richard C. Shelby,Republican,regular,36062,49830
Alabama,perry,Ron Crumpton,Democratic,absentee,234,5154
Alabama,perry,Richard C. Shelby,Republican,absentee,60,5154
Alabama,perry,Write in,Other,regular,2,5154
Alabama,perry,Ron Crumpton,Democratic,regular,3422,5154
