State,County,Rep. Pres. Vote %,Dem. Pres. Vote %,Rep. House Vote %,Dem. House Vote %,Rep. Senate Vote %,Dem. Senate Vote %,Avg. Rep. Vote %,Avg. Dem. Vote %,Higher Avg. %
Nevada,lincoln,78.38,13.37,81.08,12.63,75.86,14.85,78.0,13.0,78.0
New York,new york,9.71,86.56,11.71,74.01,8.97,74.91,9.33,78.0,78.0
Oklahoma,garvin,78.26,17.59,79.21,17.72,77.81,16.04,78.0,16.67,78.0
Oklahoma,jackson,76.47,18.87,80.48,19.52,78.18,15.85,78.0,17.33,78.0
South Carolina,pickens,73.88,21.11,80.76,19.11,81.77,16.65,78.0,18.67,78.0
South Dakota,tripp,78.67,17.57,75.33,24.67,81.26,18.74,78.0,19.67,78.0
Alabama,jackson,79.45,17.5,77.34,22.54,77.57,22.33,77.67,20.33,77.67
Colorado,kiowa,85.15,10.64,74.79,24.01,74.11,23.39,77.67,19.0,77.67
Colorado,moffat,81.3,13.39,78.57,17.39,74.84,20.92,77.67,16.67,77.67
Florida,gilchrist,80.05,17.32,78.28,18.82,75.61,20.09,77.67,18.33,77.67
Idaho,caribou,74.96,8.93,79.94,11.8,80.75,11.54,77.67,10.0,77.67
Kansas,doniphan,77.15,17.38,79.77,15.01,77.0,18.26,77.67,16.67,77.67
Missouri,osage,82.6,14.08,84.89,12.67,67.79,28.86,77.67,18.0,77.67
North Carolina,yadkin,78.76,17.93,77.8,22.2,78.15,18.03,77.67,19.0,77.67
Oklahoma,custer,74.24,19.96,81.33,18.67,78.88,15.44,77.67,17.33,77.67
Pennsylvania,juniata,79.14,17.42,81.67,18.33,73.47,20.66,77.67,18.33,77.67
Connecticut,hartford,36.42,59.09,7.42,86.97,6.71,87.04,16.33,77.33,77.33
Missouri,holt,81.78,14.73,82.98,14.3,69.18,26.96,77.33,18.0,77.33
Oklahoma,kiowa,74.32,21.96,80.22,19.78,78.01,18.23,77.33,19.33,77.33
South Dakota,hand,76.51,18.37,75.1,24.9,81.91,18.09,77.33,20.0,77.33
South Dakota,walworth,76.54,18.45,76.93,23.07,80.38,19.62,77.33,20.0,77.33
Louisiana,lafourche,76.74,20.23,79.15,16.47,76.27,20.64,77.0,18.67,77.0
Missouri,dade,80.59,16.12,80.25,15.74,71.23,24.56,77.0,18.33,77.0
Missouri,laclede,80.25,15.91,81.48,14.85,70.53,24.71,77.0,17.67,77.0
Missouri,miller,81.33,15.33,82.06,14.59,68.47,26.75,77.0,18.33,77.0
Missouri,ripley,81.86,15.03,80.18,17.14,70.85,24.89,77.0,18.67,77.0
Missouri,texas,81.01,15.77,81.68,15.7,69.68,25.87,77.0,18.33,77.0
South Dakota,hutchinson,74.8,20.56,75.47,24.53,82.02,17.98,77.0,20.33,77.0
Colorado,baca,81.42,13.14,81.54,14.29,68.71,26.99,76.67,17.67,76.67
Idaho,jefferson,73.52,8.51,77.64,11.06,80.12,10.51,76.67,9.67,76.67
Idaho,owyhee,77.76,15.06,78.24,21.74,75.87,15.15,76.67,17.0,76.67
Kansas,harper,77.42,15.24,73.22,11.77,80.26,14.73,76.67,13.33,76.67
Kansas,linn,78.7,16.63,77.86,17.57,75.12,18.34,76.67,17.0,76.67
Missouri,kansas city,19.17,76.0,20.22,77.46,18.69,77.78,19.0,76.67,76.67
New York,kings,17.51,79.51,7.39,76.09,8.72,75.67,10.67,76.67,76.67
North Carolina,mitchell,77.59,19.71,79.04,20.96,74.93,21.58,76.67,20.0,76.67
North Carolina,randolph,76.55,20.43,79.55,20.45,75.09,20.64,76.67,20.0,76.67
Ohio,adams,76.23,20.48,78.83,20.17,76.31,19.6,76.67,19.67,76.67
Ohio,clinton,74.1,21.77,79.62,20.38,77.82,18.17,76.67,19.67,76.67
Ohio,logan,73.97,21.54,79.49,20.51,78.35,16.61,76.67,19.0,76.67
South Dakota,faulk,76.74,18.25,73.57,26.43,81.79,18.21,76.67,20.67,76.67
Colorado,lincoln,77.67,16.79,80.22,16.11,72.19,24.37,76.33,18.67,76.33
Florida,walton,76.57,20.44,76.5,23.5,77.01,18.96,76.33,20.33,76.33
Kansas,barber,82.15,12.7,65.23,7.84,82.52,12.36,76.33,10.33,76.33
Missouri,cedar,79.85,16.08,80.39,15.42,70.61,24.48,76.33,18.33,76.33
Missouri,ozark,80.78,16.07,80.11,16.61,69.02,24.9,76.33,18.67,76.33
Nevada,esmeralda,77.78,15.37,78.02,14.73,74.33,15.5,76.33,14.67,76.33
North Carolina,durham,18.16,77.66,20.3,77.1,21.72,75.94,19.67,76.33,76.33
Ohio,highland,75.78,20.39,78.96,20.99,76.18,19.35,76.33,19.67,76.33
Ohio,preble,75.11,21.03,76.21,19.4,78.26,16.85,76.33,18.67,76.33
Ohio,van wert,76.03,19.59,81.61,18.39,72.97,20.34,76.33,19.0,76.33
Oklahoma,garfield,73.74,20.25,79.62,20.38,77.34,15.68,76.33,18.33,76.33
