state,county,candidate,party,candidatevotes,totalvotes
Arkansas,lawrence,Donald Trump,Republican,4064,5685
Arkansas,lawrence,Other,Other,358,5685
Arkansas,lee,Hillary Clinton,Democratic,1735,3026
Arkansas,lee,Donald Trump,Republican,1229,3026
Arkansas,lee,Other,Other,62,3026
Arkansas,lincoln,Hillary Clinton,Democratic,1252,3826
Arkansas,lincoln,Donald Trump,Republican,2455,3826
Arkansas,lincoln,Other,Other,119,3826
Arkansas,little river,Hillary Clinton,Democratic,1397,5227
Arkansas,little river,Donald Trump,Republican,3605,5227
Arkansas,little river,Other,Other,225,5227
Arkansas,logan,Hillary Clinton,Democratic,1715,7921
Arkansas,logan,Donald Trump,Republican,5746,7921
Arkansas,logan,Other,Other,460,7921
Arkansas,lonoke,Hillary Clinton,Democratic,5664,27100
Arkansas,lonoke,Donald Trump,Republican,19958,27100
Arkansas,lonoke,Other,Other,1478,27100
Arkansas,madison,Hillary Clinton,Democratic,1588,6841
Arkansas,madison,Donald Trump,Republican,4928,6841
Arkansas,madison,Other,Other,325,6841
Arkansas,marion,Hillary Clinton,Democratic,1434,7107
Arkansas,marion,Donald Trump,Republican,5336,7107
Arkansas,marion,Other,Other,337,7107
Arkansas,miller,Hillary Clinton,Democratic,4273,16091
Arkansas,miller,Donald Trump,Republican,11294,16091
Arkansas,miller,Other,Other,524,16091
Arkansas,mississippi,Hillary Clinton,Democratic,5670,13204
Arkansas,mississippi,Donald Trump,Republican,7061,13204
Arkansas,mississippi,Other,Other,473,13204
Arkansas,monroe,Hillary Clinton,Democratic,1312,2884
Arkansas,monroe,Donald Trump,Republican,1489,2884
Arkansas,monroe,Other,Other,83,2884
Arkansas,montgomery,Hillary Clinton,Democratic,748,3559
Arkansas,montgomery,Donald Trump,Republican,2643,3559
Arkansas,montgomery,Other,Other,168,3559
Arkansas,nevada,Hillary Clinton,Democratic,1157,3246
Arkansas,nevada,Donald Trump,Republican,2000,3246
Arkansas,nevada,Other,Other,89,3246
Arkansas,newton,Hillary Clinton,Democratic,699,3753
Arkansas,newton,Donald Trump,Republican,2875,3753
Arkansas,newton,Other,Other,179,3753
Arkansas,ouachita,Hillary Clinton,Democratic,4321,9935
Arkansas,ouachita,Donald Trump,Republican,5351,9935
Arkansas,ouachita,Other,Other,263,9935
Arkansas,perry,Hillary Clinton,Democratic,1049,4306
Arkansas,perry,Donald Trump,Republican,3008,4306
Arkansas,perry,Other,Other,249,4306
Arkansas,phillips,Hillary Clinton,Democratic,4310,6953
Arkansas,phillips,Donald Trump,Republican,2446,6953
Arkansas,phillips,Other,Other,197,6953
Arkansas,pike,Hillary Clinton,Democratic,685,3981
Arkansas,pike,Donald Trump,Republican,3150,3981
Arkansas,pike,Other,Other,146,3981
Arkansas,poinsett,Hillary Clinton,Democratic,1880,7722
Arkansas,poinsett,Donald Trump,Republican,5502,7722
Arkansas,poinsett,Other,Other,340,7722
Arkansas,polk,Hillary Clinton,Democratic,1212,8231
Arkansas,polk,Donald Trump,Republican,6618,8231
Arkansas,polk,Other,Other,401,8231
Arkansas,pope,Hillary Clinton,Democratic,5000,22569
Arkansas,pope,Donald Trump,Republican,16256,22569
Arkansas,pope,Other,Other,1313,22569
Arkansas,prairie,Hillary Clinton,Democratic,814,3444
Arkansas,prairie,Donald Trump,Republican,2505,3444
